Rank,Tier,Page Path,Title,Organic Sessions,Engagement Rate,Avg Eng Time (s),Affiliate Clicks,Conversions,Priority Score,Duplicate?,Recommended Action
/beauty-style/hair/the-best-italian-hair-products-and-secrets-you-need-to-know,1642,Medium,384,High,"Hair tools & care — curated hair product edit (brushes, treatments, the Italian range that already converts)"
/interviews/founders/the-exact-products-melanie-grant-uses-to-look-flawless,1472,Medium,343,High,"""Shop the expert"" — Melanie Grant's exact products as a curated collection"
/vodcast,292,Low,294,High,General curated product edit aligned to article topic
/beauty-style/hair/ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,3516,High,292,High,"Hair tools & care — curated hair product edit (brushes, treatments, the Italian range that already converts)"
/beauty-style/skin-care/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,3027,High,269,High,At-home device shop — micro-infusion/microstamping tools + serums
/beauty-style/hair/best-hair-tools-for-fine-hair,1952,Medium,236,High,"Hair tools & care — curated hair product edit (brushes, treatments, the Italian range that already converts)"
/how-to/hairstyles/ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,2080,High,211,High,"Hair tools & care — curated hair product edit (brushes, treatments, the Italian range that already converts)"
/about-beauticate,470,Low,194,High,General curated product edit aligned to article topic
/beauty-style/qure-micro-infusion-system-review,1717,Medium,151,High,At-home device shop — micro-infusion/microstamping tools + serums
/beauty-style/skin-care/chic-sunscreens-hats,391,Low,149,Medium,"Chic SPF & sun-hat edit — high efficiency, seasonal shop collection"
/beauty-style/beauty-tips/rose-marie-swifts-10-beauty-rules-for-older-skin,620,Low,141,Medium,"""Shop the expert"" — Rose-Marie Swift / RMS Beauty product edit"
/living/lifestyle/best-ai-image-generator-app-review-glam-ai,1463,Medium,115,Medium,General curated product edit aligned to article topic
/interviews/creatives/sibella-court-interior-stylist-and-author,1246,Medium,112,Medium,General curated product edit aligned to article topic
/interviews/tastemakers/princess-diana,1267,Medium,112,Medium,General curated product edit aligned to article topic
/living/outdoors/pool-accessories-that-changed-our-lives,346,Low,101,Medium,Outdoor/lifestyle edit — pool & summer accessories collection
/beauty-style/beauty-tips/three-of-the-best-wisteria-scents,966,Medium,100,Medium,General curated product edit aligned to article topic
/how-to/hairstyles/the-best-italian-hair-products-and-secrets-you-need-to-know,684,Low,97,Medium,"Hair tools & care — curated hair product edit (brushes, treatments, the Italian range that already converts)"
/beauty-style/nightly-beauty-routine,448,Low,95,Medium,General curated product edit aligned to article topic
/beauty-style/beauty-tips/the-makeup-tools-for-people-with-disabilities,1033,Medium,92,Medium,"Makeup tools shop section (brushes, sponges)"
/beauty-style/beauticate-collective-editors-experts,763,Low,92,Medium,General curated product edit aligned to article topic
/interviews/models/helena-vestergaard-on-modelling-and-mental-health,934,Medium,79,Medium,General curated product edit aligned to article topic
/how-to/best-hair-tools-for-fine-hair,606,Low,78,Medium,"Hair tools & care — curated hair product edit (brushes, treatments, the Italian range that already converts)"
/interviews/creatives/rae-morris-interview,456,Low,75,Medium,General curated product edit aligned to article topic
/beauty-style/beauty-tips/the-best-italian-pharmacy-buys-you-can-buy-online,561,Low,74,Medium,General curated product edit aligned to article topic
/interviews/creatives/tamsin-johnson-interior-designer,305,Low,73,Medium,General curated product edit aligned to article topic
/interviews/tastemakers/stella-kim,2408,High,73,Medium,General curated product edit aligned to article topic
/who/entrepreneurs/the-exact-products-melanie-grant-uses-to-look-flawless,231,Low,73,Medium,"""Shop the expert"" — Melanie Grant's exact products as a curated collection"
/about,2414,High,66,Medium,General curated product edit aligned to article topic
/beauty-style/skin-care/masks-for-stressed-skin,305,Low,65,Medium,General curated product edit aligned to article topic
/beauty-style/skin-care/qure-glowcase-review,327,Low,62,Medium,Micro-infusion system + refills as recurring-purchase shop item
/beauty-style/beauty-tips/5-french-hair-secrets-for-effortlessly-cool-hair,395,Low,60,Medium,"Hair tools & care — curated hair product edit (brushes, treatments, the Italian range that already converts)"
/wellness/breast-cancer-beauty-routine,629,Low,59,Medium,General curated product edit aligned to article topic
/interviews/founders/alyce-tran-the-entrepreneur-who-will-persuade-you-to-bring-colour-into-your-home,652,Low,53,Medium,General curated product edit aligned to article topic
/beauty-style/best-hair-tools-for-fine-hair,420,Low,53,Medium,"Hair tools & care — curated hair product edit (brushes, treatments, the Italian range that already converts)"
/how-to/skin-care/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,919,Medium,52,Medium,At-home device shop — micro-infusion/microstamping tools + serums
/interviews/actors-presenters/farrah-fawcett-actress,796,Low,52,Medium,General curated product edit aligned to article topic
/destination/travel/hotels-resorts/mondrian-gold-coast-review,293,Low,52,Medium,General curated product edit aligned to article topic
/beauty-style/skin-care/systeme-bio-plus-oil-serum-review,288,Low,51,Medium,General curated product edit aligned to article topic
/beauty-style/qure-neck-decolletage-led-device,465,Low,50,Medium,Micro-infusion system + refills as recurring-purchase shop item
/beauty-style/hair/damaged-hair-repair-tips,274,Low,50,Medium,"Hair tools & care — curated hair product edit (brushes, treatments, the Italian range that already converts)"
/beauty-style/hair/red-light-therapy-hair-thinning,327,Low,45,Low,"Hair tools & care — curated hair product edit (brushes, treatments, the Italian range that already converts)"
/sigourneys-edit/red-light-therapy-infraredi-review,138,Minimal,44,Low,Red-light / at-home device shop — Sigourney's Edit converts well
/top-50-skincare-products,395,Low,42,Low,"Luxury skincare edit — ""worth the price"" curated collection"
/interviews/founders/the-glamorous-cosmetic-injector-youll-want-to-fly-to-perth-to-see,522,Low,42,Low,General curated product edit aligned to article topic
/interviews/creatives/darren-palmer-interiors-designer-and-olivier-duvillard,3577,High,40,Low,General curated product edit aligned to article topic
/interviews/creatives/who-sarah-jagger-make-up-artist,781,Low,37,Low,General curated product edit aligned to article topic
/interviews/actors-presenters/grace-kelly-princess-and-actress,617,Low,36,Low,General curated product edit aligned to article topic
/destination/travel/bannisters-port-stephens-family-getaway,360,Low,36,Low,General curated product edit aligned to article topic
/how-to/best-ai-image-generator-app-review-glam-ai,543,Low,35,Low,General curated product edit aligned to article topic
/interviews/founders/anna-heinrich-on-quitting-law-and-finding-her-inner-entrepreneur,261,Low,35,Low,General curated product edit aligned to article topic
/beauty-style/style/the-5-chic-podcasts-were-currently-streaming,130,Minimal,35,Low,Lifestyle/affiliate gift edit tied to recommendations
/beauty-style/hair/olaplex-review-is-it-worth-the-hype,929,Medium,34,Low,"Hair tools & care — curated hair product edit (brushes, treatments, the Italian range that already converts)"
/beauty-style/beauty-tips/hypochlorous-acid-why-this-dermal-mist-has-gone-viral,203,Low,34,Low,General curated product edit aligned to article topic
/sigourneys-edit/sigs-slim-aarons-poolside-birthday-all-the-details,777,Low,33,Low,Outdoor/lifestyle edit — pool & summer accessories collection
/living/lifestyle/lazy-girls-guide-summer-entertaining,298,Low,32,Low,General curated product edit aligned to article topic
/who/influencers/princess-diana,195,Minimal,32,Low,General curated product edit aligned to article topic
/beauty-style/why-your-tap-water-might-be-ruining-your-skin-and-what-to-do-about-it,283,Low,32,Low,General curated product edit aligned to article topic
/beauty-style/why-i-swapped-my-whoop-for-an-ultrahuman-ring-and-what-its-taught-me-about-stress-sleep-and-bio-age-copy,230,Low,31,Low,General curated product edit aligned to article topic
/destination/beauty-wellness/reve-skin-beauty-annandale,158,Minimal,31,Low,General curated product edit aligned to article topic
/interviews/kate-waterhouse-style-beauty,560,Low,30,Low,General curated product edit aligned to article topic
/interviews/creatives/gucci-westman-makeup-artist,287,Low,30,Low,General curated product edit aligned to article topic
/uncategorized/family-ski-holiday-to-japan,144,Minimal,29,Low,General curated product edit aligned to article topic
/reviews/luxury-skincare-review,1924,Medium,28,Low,"Luxury skincare edit — ""worth the price"" curated collection"
/interviews/creatives/the-society-jeweller-with-a-stylish-loungewear-wardrobe,415,Low,28,Low,General curated product edit aligned to article topic
/how-to/beauty-tips/rose-marie-swifts-10-beauty-rules-for-older-skin,161,Minimal,28,Low,"""Shop the expert"" — Rose-Marie Swift / RMS Beauty product edit"
/destination/beauty-wellness/clinics/paddington-beauty-room-paddington,135,Minimal,28,Low,General curated product edit aligned to article topic
/sigourneys-edit/sensitive-scalp-moogoo-shampoo-review,922,Medium,27,Low,General curated product edit aligned to article topic
/beauty-style/the-led-mask-the-industry-is-buzzing-about,338,Low,27,Low,General curated product edit aligned to article topic
/destination/travel/1-hotel-melbourne-review,275,Low,27,Low,General curated product edit aligned to article topic
/beauty-style/hair/im-a-hair-bleach-addict-heres-how-i-prevent-the-damage,481,Low,26,Low,"Hair tools & care — curated hair product edit (brushes, treatments, the Italian range that already converts)"
/wellness/fitness/supermodel-fitness-secrets-the-best-personal-trainers-for-models,436,Low,26,Low,General curated product edit aligned to article topic
/sigourneys-edit/qure-shower-filter-review,274,Low,26,Low,Micro-infusion system + refills as recurring-purchase shop item
/interviews/creatives/dina-broadhurst-artist,839,Medium,25,Low,General curated product edit aligned to article topic
/sigourneys-edit/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,484,Low,25,Low,At-home device shop — micro-infusion/microstamping tools + serums
/beauty-style/best-ai-image-generator-app-review-glam-ai,459,Low,25,Low,General curated product edit aligned to article topic
/living/interiors/living-room-transformation,96,Minimal,25,Low,General curated product edit aligned to article topic
/interviews/creatives/who-jocelyn-petroni-beauty-therapist,328,Low,24,Low,General curated product edit aligned to article topic
/how-to/beauty-tips/the-best-italian-pharmacy-buys-you-can-buy-online,313,Low,24,Low,General curated product edit aligned to article topic
/destination/beauty-wellness/clinics/aurora-spa-st-kilda,359,Low,24,Low,General curated product edit aligned to article topic
/destination/travel/sun-ranch-byron-bay-retreat,385,Low,24,Low,General curated product edit aligned to article topic
/vodcast-by-beauticate/sacred-six-the-rituals-practices-helping-me-heal-from-burnout,382,Low,23,Low,General curated product edit aligned to article topic
/interviews/actors-presenters/abbey-gelmi-the-sports-reporter-making-her-thirties-all-about-finding-balance,1077,Medium,22,Low,General curated product edit aligned to article topic
/destination/travel/family-ski-holiday-to-japan,251,Low,22,Low,General curated product edit aligned to article topic
/news/why-i-swapped-my-whoop-for-an-ultrahuman-ring-and-what-its-taught-me-about-stress-sleep-and-bio-age-copy,287,Low,22,Low,General curated product edit aligned to article topic
/beauty-style/hair/cher-from-clueless-hair-the-ultimate-cher-horowitz-hair-tutorial,512,Low,22,Low,"Hair tools & care — curated hair product edit (brushes, treatments, the Italian range that already converts)"
/who/entrepreneurs/the-glamorous-cosmetic-injector-youll-want-to-fly-to-perth-to-see,204,Low,22,Low,General curated product edit aligned to article topic
/wellness/health/how-to-prime-your-skin-for-peri-and-menopause,155,Minimal,22,Low,General curated product edit aligned to article topic
/who/influencers/stella-kim,612,Low,21,Low,General curated product edit aligned to article topic
/interviews/actors-presenters/nathalie-kelley-the-actress-finding-her-purpose-outside-of-hollywood,1460,Medium,21,Low,General curated product edit aligned to article topic
/interviews/founders/fiona-myer-entrepreneur,455,Low,21,Low,General curated product edit aligned to article topic
/interviews/models/lara-bingle,340,Low,21,Low,General curated product edit aligned to article topic
/sigourneys-edit/latest-injectable-trends,335,Low,21,Low,General curated product edit aligned to article topic
/beauty-style/skin-care/how-a-beauty-writer-manages-her-rosacea,166,Minimal,21,Low,General curated product edit aligned to article topic
/the-go-tos/beauty-maintenance/aurora-spa-st-kilda,112,Minimal,21,Low,General curated product edit aligned to article topic
/interviews/creatives/jess-blanch-publisher-editor-in-chief-russh,256,Low,20,Low,General curated product edit aligned to article topic
/living/sustainability/these-are-the-beauty-brands-working-towards-better-packaging,582,Low,20,Low,General curated product edit aligned to article topic
/interviews/creatives/who-jodhi-meares,298,Low,20,Low,General curated product edit aligned to article topic
/living/lifestyle/8-at-trinity,214,Low,20,Low,General curated product edit aligned to article topic
/interviews/creatives/pippa-holt-a-fashion-insiders-guide-to-summer-beauty-and-statement-dressing,104,Minimal,20,Low,General curated product edit aligned to article topic
/sigourneys-edit/winter-beauty-rituals,299,Low,20,Low,General curated product edit aligned to article topic

Priority,Opportunity Type,Page,Avg Position,Impressions/yr,Clicks/yr,CTR %,Est. Extra Clicks if Fixed,3mo Click Trend,Recommended Fix
1,STRIKING DISTANCE — refresh to reach pg 1,/living/lifestyle/best-ai-image-generator-app-review-glam-ai,8.5,178174,839,0.47,9851,-239,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
2,STRIKING DISTANCE — refresh to reach pg 1,/ask/should-you-apply-fake-tan-on-top-of-an-existing-tan,9,139293,1575,1.13,6782,+262,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
3,STRIKING DISTANCE — refresh to reach pg 1,/sigourneys-edit/sensitive-scalp-moogoo-shampoo-review,9.7,97911,623,0.64,5251,+42,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
4,STRIKING DISTANCE — refresh to reach pg 1,/how-to/beauty-tips/how-to-remove-fake-tan-from-white-clothes,19.9,58069,347,0.6,3137,,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
5,STRIKING DISTANCE — refresh to reach pg 1,/sigourneys-edit/dyson-supersonic-r-hair-dryer-review,15,51100,204,0.4,2862,+62,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
6,STRIKING DISTANCE — refresh to reach pg 1,/beauty-style/skin-care/la-mer-the-concentrate-reviews,14.1,50649,264,0.52,2774,-5,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
7,STRIKING DISTANCE — refresh to reach pg 1,/beauty-style/skin-care/byredo-hand-cream-review-is-it-worth-it,9,34954,193,0.55,1904,-15,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
8,STRIKING DISTANCE — refresh to reach pg 1,/reviews/products/olaplex-review-is-it-worth-the-hype,14.4,33153,134,0.4,1855,,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
9,STRIKING DISTANCE — refresh to reach pg 1,/interviews/tastemakers/bachelorette-brooke-blurton-on-choosing-real-life-over-picture-perfect,10.7,33217,178,0.54,1815,+31,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
10,STRIKING DISTANCE — refresh to reach pg 1,/interviews/founders/anna-heinrich-on-quitting-law-and-finding-her-inner-entrepreneur,8.4,31051,129,0.42,1734,-32,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
11,STRIKING DISTANCE — refresh to reach pg 1,/reviews/products/byredo-hand-cream-review-is-it-worth-it,10.9,31340,186,0.59,1694,-1,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
12,STRIKING DISTANCE — refresh to reach pg 1,/how-to/skin-care/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,12.4,34146,455,1.33,1593,,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
13,STRIKING DISTANCE — refresh to reach pg 1,/interviews/models/samantha-harris-is-celebrating-the-freedom-shes-finding-in-her-thirties,10.7,26270,148,0.56,1428,-5,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
14,STRIKING DISTANCE — refresh to reach pg 1,/vodcast-by-beauticate/david-the-medium-on-intuition-healing-and-life-after-death,9.4,27179,208,0.77,1422,+16,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
15,STRIKING DISTANCE — refresh to reach pg 1,/sigourneys-edit/prevage-2-0-review-sigourney-road-tests-the-antioxidant-all-in-one,15.2,24773,270,1.09,1216,-9,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
16,STRIKING DISTANCE — refresh to reach pg 1,/how-to/best-ai-image-generator-app-review-glam-ai,11.7,24272,242,1,1214,,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
17,STRIKING DISTANCE — refresh to reach pg 1,/how-to/best-hair-tools-for-fine-hair,19.6,26275,480,1.83,1096,,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
18,STRIKING DISTANCE — refresh to reach pg 1,/beauty-style/hair/the-hair-dye-for-sensitive-scalps,12.1,20235,124,0.61,1090,+20,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
19,STRIKING DISTANCE — refresh to reach pg 1,/interviews/tastemakers/youtube-queen-lauren-curtis-shares-her-experience-growing-up-online,9.1,17646,71,0.4,987,-4,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
20,STRIKING DISTANCE — refresh to reach pg 1,/how-to/hairstyles/the-best-italian-hair-products-and-secrets-you-need-to-know,10.8,23271,414,1.78,982,,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
21,STRIKING DISTANCE — refresh to reach pg 1,/interviews/actors-presenters/elsa-pataky-on-falling-utterly-in-love-with-byron-bay,9.9,16835,71,0.42,939,+7,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
22,STRIKING DISTANCE — refresh to reach pg 1,/beauty-style/best-hair-tools-for-fine-hair,8.2,17142,227,1.32,801,,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
23,STRIKING DISTANCE — refresh to reach pg 1,/interviews/tastemakers/margaret-zhang,9,14019,95,0.68,746,-1,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
24,STRIKING DISTANCE — refresh to reach pg 1,/how-to/beauty-tips/how-to-get-fuller-brows-using-aloe-vera-seriously,18.2,13703,80,0.58,742,,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
25,STRIKING DISTANCE — refresh to reach pg 1,/how-to/beauty-tips/the-extreme-beauty-standards-flight-attendants-adhere-to,11.7,13876,111,0.8,721,,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
26,STRIKING DISTANCE — refresh to reach pg 1,/beauty-style/cosmetic/does-eyeliner-tattoo-hurt,17.9,12669,56,0.44,704,-2,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
27,STRIKING DISTANCE — refresh to reach pg 1,/interviews/creatives/amelia-webb-on-loving-the-career-she-never-even-knew-she-wanted,11.1,13099,115,0.88,670,-12,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
28,STRIKING DISTANCE — refresh to reach pg 1,/sigourneys-edit/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,13.1,15253,248,1.63,667,,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
29,STRIKING DISTANCE — refresh to reach pg 1,/beauty-style/qure-neck-decolletage-led-device,14.1,12065,72,0.6,651,+8,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
30,STRIKING DISTANCE — refresh to reach pg 1,/interviews/models/silvana-philippoussis-model-and-actress,8.4,11560,96,0.83,597,-2,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
31,STRIKING DISTANCE — refresh to reach pg 1,/interviews/founders/snezana-markoski-and-sam-wood-tv-personalities,8,11075,78,0.7,586,+5,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
32,STRIKING DISTANCE — refresh to reach pg 1,/interviews/creatives/samantha-jade-singer,8.6,10554,48,0.45,585,-18,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
33,STRIKING DISTANCE — refresh to reach pg 1,/interviews/actors-presenters/sophie-falkiner-tv-presenter,9.7,10526,53,0.5,578,+4,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
34,STRIKING DISTANCE — refresh to reach pg 1,/vodcast-by-beauticate/lindsay-price-on-healing-childhood-trauma-life-with-curtis-stone-and-her-hollywood-journey,14.3,10834,79,0.73,571,+4,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
35,STRIKING DISTANCE — refresh to reach pg 1,/beauty-style/beauty-tips/the-blush-lipstick-combinations-that-always-give-me-compliments,13.1,10490,59,0.56,570,-11,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
36,STRIKING DISTANCE — refresh to reach pg 1,/how-to/hairstyles/the-hair-dye-for-sensitive-scalps,19.6,10522,72,0.68,559,,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
37,STRIKING DISTANCE — refresh to reach pg 1,/who/models/samantha-harris-is-celebrating-the-freedom-shes-finding-in-her-thirties,9.2,10386,73,0.7,550,,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
38,STRIKING DISTANCE — refresh to reach pg 1,/destination/travel/bannisters-port-stephens-family-getaway,9.1,10132,75,0.74,532,+33,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
39,STRIKING DISTANCE — refresh to reach pg 1,/sigourneys-edit/qure-shower-filter-review,12.7,9480,48,0.51,520,-3,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
40,STRIKING DISTANCE — refresh to reach pg 1,/interviews/founders/linda-rodin-stylist-and-entrepreneur,11.8,9970,80,0.8,518,+4,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
41,STRIKING DISTANCE — refresh to reach pg 1,/beauty-style/qure-micro-infusion-system-review,9.2,9211,37,0.4,515,+33,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
42,STRIKING DISTANCE — refresh to reach pg 1,/interviews/actors-presenters/shaynna-blaze-tvs-interior-designer-on-feeling-your-best-at-every-age,9.4,9653,69,0.71,510,+2,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
43,STRIKING DISTANCE — refresh to reach pg 1,/destination/travel/we-visited-trip-advisors-best-luxury-fiji-hotel-heres-our-verdict,18.2,9030,45,0.5,496,-13,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
44,STRIKING DISTANCE — refresh to reach pg 1,/interviews/models/bambi-northwood-blyth-model,9.2,8988,46,0.51,493,-1,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
45,STRIKING DISTANCE — refresh to reach pg 1,/who/entrepreneurs/olivia-chantecaille-born-into-beauty-now-saving-the-world,14.5,9165,68,0.74,481,,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
46,STRIKING DISTANCE — refresh to reach pg 1,/beauty-style/hair/hairstyles-for-wet-and-windy-days,8.3,9004,59,0.66,481,-13,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
47,STRIKING DISTANCE — refresh to reach pg 1,/interviews/creatives/david-mallet-hair-stylist,10.5,11478,214,1.86,474,+38,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
48,STRIKING DISTANCE — refresh to reach pg 1,/interviews/founders/the-exact-products-melanie-grant-uses-to-look-flawless,9,18016,641,3.56,439,+16,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
49,STRIKING DISTANCE — refresh to reach pg 1,/beauty-style/the-led-mask-the-industry-is-buzzing-about,8.6,9676,169,1.75,411,-15,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
50,STRIKING DISTANCE — refresh to reach pg 1,/beauty-style/beauty-tips/beauty-secrets-from-the-happiest-kingdom-on-earth,9,8469,123,1.45,385,+3,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
51,STRIKING DISTANCE — refresh to reach pg 1,/interviews/creatives/melanie-grant-skin-specialist,11.3,8006,95,1.19,385,-6,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
52,STRIKING DISTANCE — refresh to reach pg 1,/beauty-style/beauty-tips/the-makeup-tools-for-people-with-disabilities,8.9,11443,307,2.68,379,-3,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
53,STRIKING DISTANCE — refresh to reach pg 1,/destination/beauty-wellness/clinics/aurora-spa-st-kilda,11.2,9665,262,2.71,317,+8,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
54,STRIKING DISTANCE — refresh to reach pg 1,/who/influencers/riley-minford-the-trans-model-owning-her-beauty,10.4,13493,573,4.25,236,,Refresh content + add internal links + target the ranking query in H2s. Ranks pos 8-20 — small push reaches page 1.
55,DECLINING — refresh urgently,/beauty-style/hair/olaplex-review-is-it-worth-the-hype,6.8,138403,435,0.31,,-62,"Lost position recently. Update for freshness, re-optimize title, rebuild internal links before it slips further."
56,DECLINING — refresh urgently,/beauty-style/skin-care/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,9.5,99190,944,0.95,,-137,"Lost position recently. Update for freshness, re-optimize title, rebuild internal links before it slips further."
57,DECLINING — refresh urgently,/beauty-style/beauty-tips/how-to-remove-fake-tan-from-white-clothes,8.3,71816,329,0.46,,-32,"Lost position recently. Update for freshness, re-optimize title, rebuild internal links before it slips further."
58,DECLINING — refresh urgently,/interviews/tastemakers/stella-kim,5.8,63692,1605,2.52,,-354,"Lost position recently. Update for freshness, re-optimize title, rebuild internal links before it slips further."
59,DECLINING — refresh urgently,/beauty-style/beauty-tips/the-beauty-secrets-epres-vs-olaplex-whats-the-difference,5.2,40815,732,1.79,,-46,"Lost position recently. Update for freshness, re-optimize title, rebuild internal links before it slips further."
60,TITLE/META rewrite — underclicking,/interviews/tastemakers/princess-diana,3.6,128726,864,0.67,4285,-44,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
61,TITLE/META rewrite — underclicking,/interviews/models/helena-vestergaard-on-modelling-and-mental-health,3.6,76595,481,0.63,2582,+55,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
62,TITLE/META rewrite — underclicking,/beauty-style/hair/best-hair-tools-for-fine-hair,7.1,89139,1444,1.62,2121,-377,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
63,TITLE/META rewrite — underclicking,/beauty-style/beauty-tips/how-to-get-fuller-brows-using-aloe-vera-seriously,4.6,62712,398,0.63,2110,-5,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
64,TITLE/META rewrite — underclicking,/interviews/creatives/dina-broadhurst-artist,7.5,51508,335,0.65,1725,-131,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
65,TITLE/META rewrite — underclicking,/who/actors-presenters/elsa-pataky-on-falling-utterly-in-love-with-byron-bay,6.4,39331,87,0.22,1486,-1,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
66,TITLE/META rewrite — underclicking,/interviews/models/grace-elizabeth-model,9.7,38320,74,0.19,1458,+5,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
67,TITLE/META rewrite — underclicking,/interviews/creatives/who-jodhi-meares,9.5,37976,116,0.31,1403,+3,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
68,TITLE/META rewrite — underclicking,/interviews/creatives/kristen-fisher-eyebrow-stylist,8.1,37686,112,0.3,1395,+20,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
